"Step","reconstruction_with_individual_norms_galvani_deit - train_error","reconstruction_with_individual_norms_galvani_deit - train_error__MIN","reconstruction_with_individual_norms_galvani_deit - train_error__MAX"
"2","4.925849437713623","4.925849437713623","4.925849437713623"
"17","4.275335311889648","4.275335311889648","4.275335311889648"
"32","3.8135311603546143","3.8135311603546143","3.8135311603546143"
"47","3.576092004776001","3.576092004776001","3.576092004776001"
"62","3.28823184967041","3.28823184967041","3.28823184967041"
"77","3.1105334758758545","3.1105334758758545","3.1105334758758545"
"92","2.926651954650879","2.926651954650879","2.926651954650879"
"107","2.91729998588562","2.91729998588562","2.91729998588562"
"122","2.775117874145508","2.775117874145508","2.775117874145508"
"137","2.6882622241973877","2.6882622241973877","2.6882622241973877"
"152","2.6377460956573486","2.6377460956573486","2.6377460956573486"
"167","2.5682451725006104","2.5682451725006104","2.5682451725006104"
"182","2.5367143154144287","2.5367143154144287","2.5367143154144287"
"197","2.544490337371826","2.544490337371826","2.544490337371826"
"212","2.501784086227417","2.501784086227417","2.501784086227417"
"227","2.472167491912842","2.472167491912842","2.472167491912842"
"242","2.4723527431488037","2.4723527431488037","2.4723527431488037"
"257","2.4442086219787598","2.4442086219787598","2.4442086219787598"
"272","2.4467265605926514","2.4467265605926514","2.4467265605926514"
"287","2.4518775939941406","2.4518775939941406","2.4518775939941406"
"302","2.4790027141571045","2.4790027141571045","2.4790027141571045"
"317","2.391221046447754","2.391221046447754","2.391221046447754"
"332","2.422581434249878","2.422581434249878","2.422581434249878"
"347","2.409869432449341","2.409869432449341","2.409869432449341"
"362","2.40510630607605","2.40510630607605","2.40510630607605"
"377","2.386098623275757","2.386098623275757","2.386098623275757"
"392","2.376211643218994","2.376211643218994","2.376211643218994"
"407","2.396524667739868","2.396524667739868","2.396524667739868"
"422","2.358793020248413","2.358793020248413","2.358793020248413"
"437","2.3305068016052246","2.3305068016052246","2.3305068016052246"
"452","2.3414487838745117","2.3414487838745117","2.3414487838745117"
"467","2.328911304473877","2.328911304473877","2.328911304473877"
"482","2.366982936859131","2.366982936859131","2.366982936859131"
"497","2.3206655979156494","2.3206655979156494","2.3206655979156494"
"512","2.318159818649292","2.318159818649292","2.318159818649292"
"527","2.270557165145874","2.270557165145874","2.270557165145874"
"542","2.292158842086792","2.292158842086792","2.292158842086792"
"557","2.2919843196868896","2.2919843196868896","2.2919843196868896"
"572","2.313692808151245","2.313692808151245","2.313692808151245"
"587","2.2737653255462646","2.2737653255462646","2.2737653255462646"
"602","2.2429866790771484","2.2429866790771484","2.2429866790771484"
"617","2.23588490486145","2.23588490486145","2.23588490486145"
"632","2.2092244625091553","2.2092244625091553","2.2092244625091553"
"647","2.2443149089813232","2.2443149089813232","2.2443149089813232"
"662","2.2502601146698","2.2502601146698","2.2502601146698"
"677","2.20444917678833","2.20444917678833","2.20444917678833"
"692","2.230269432067871","2.230269432067871","2.230269432067871"
"707","2.217790365219116","2.217790365219116","2.217790365219116"
"722","2.196641445159912","2.196641445159912","2.196641445159912"
"737","2.259725332260132","2.259725332260132","2.259725332260132"
"752","2.191486358642578","2.191486358642578","2.191486358642578"
"767","2.190110921859741","2.190110921859741","2.190110921859741"
"782","2.1694271564483643","2.1694271564483643","2.1694271564483643"
"797","2.1971840858459473","2.1971840858459473","2.1971840858459473"
"812","2.1439335346221924","2.1439335346221924","2.1439335346221924"
"827","2.150428533554077","2.150428533554077","2.150428533554077"
"842","2.177645206451416","2.177645206451416","2.177645206451416"
"857","2.1468443870544434","2.1468443870544434","2.1468443870544434"
"872","2.1727797985076904","2.1727797985076904","2.1727797985076904"
"887","2.158240556716919","2.158240556716919","2.158240556716919"
"902","2.107832908630371","2.107832908630371","2.107832908630371"
"917","2.1277897357940674","2.1277897357940674","2.1277897357940674"
"932","2.1301167011260986","2.1301167011260986","2.1301167011260986"
"947","2.102254629135132","2.102254629135132","2.102254629135132"
"962","2.1518499851226807","2.1518499851226807","2.1518499851226807"
"977","2.0977399349212646","2.0977399349212646","2.0977399349212646"
"992","2.1054461002349854","2.1054461002349854","2.1054461002349854"
"1007","2.1272690296173096","2.1272690296173096","2.1272690296173096"
"1022","2.1020219326019287","2.1020219326019287","2.1020219326019287"
"1037","2.1159369945526123","2.1159369945526123","2.1159369945526123"
"1052","2.1084978580474854","2.1084978580474854","2.1084978580474854"
