"Step","reconstruction_with_individual_norms_galvani_vit - train_h_norms_ave","reconstruction_with_individual_norms_galvani_vit - train_h_norms_ave__MIN","reconstruction_with_individual_norms_galvani_vit - train_h_norms_ave__MAX"
"5","11.154026985168457","11.154026985168457","11.154026985168457"
"20","9.280681610107422","9.280681610107422","9.280681610107422"
"35","8.327990531921387","8.327990531921387","8.327990531921387"
"50","7.653345584869385","7.653345584869385","7.653345584869385"
"65","7.129463195800781","7.129463195800781","7.129463195800781"
"80","6.812009811401367","6.812009811401367","6.812009811401367"
"95","6.40424108505249","6.40424108505249","6.40424108505249"
"110","6.1666646003723145","6.1666646003723145","6.1666646003723145"
"125","5.991923809051514","5.991923809051514","5.991923809051514"
"140","5.704353332519531","5.704353332519531","5.704353332519531"
"155","5.649512767791748","5.649512767791748","5.649512767791748"
"170","5.515622615814209","5.515622615814209","5.515622615814209"
"185","5.531337738037109","5.531337738037109","5.531337738037109"
"200","5.4696364402771","5.4696364402771","5.4696364402771"
"215","5.375772476196289","5.375772476196289","5.375772476196289"
"230","5.346956729888916","5.346956729888916","5.346956729888916"
"245","5.266693592071533","5.266693592071533","5.266693592071533"
"260","5.208363056182861","5.208363056182861","5.208363056182861"
"275","5.125139236450195","5.125139236450195","5.125139236450195"
"290","5.093209743499756","5.093209743499756","5.093209743499756"
"305","5.183994293212891","5.183994293212891","5.183994293212891"
"320","4.973888874053955","4.973888874053955","4.973888874053955"
"335","4.913453578948975","4.913453578948975","4.913453578948975"
"350","4.938492774963379","4.938492774963379","4.938492774963379"
"365","4.914304733276367","4.914304733276367","4.914304733276367"
"380","4.846858501434326","4.846858501434326","4.846858501434326"
"395","4.763126373291016","4.763126373291016","4.763126373291016"
"410","4.892186641693115","4.892186641693115","4.892186641693115"
"425","4.729159832000732","4.729159832000732","4.729159832000732"
"440","4.6839447021484375","4.6839447021484375","4.6839447021484375"
"455","4.663259983062744","4.663259983062744","4.663259983062744"
"470","4.629476547241211","4.629476547241211","4.629476547241211"
"485","4.592682361602783","4.592682361602783","4.592682361602783"
"500","4.54141092300415","4.54141092300415","4.54141092300415"
"515","4.512853622436523","4.512853622436523","4.512853622436523"
"530","4.42822790145874","4.42822790145874","4.42822790145874"
"545","4.406962871551514","4.406962871551514","4.406962871551514"
"560","4.383662223815918","4.383662223815918","4.383662223815918"
"575","4.3654303550720215","4.3654303550720215","4.3654303550720215"
"590","4.244246006011963","4.244246006011963","4.244246006011963"
"605","4.287588596343994","4.287588596343994","4.287588596343994"
"620","4.2538909912109375","4.2538909912109375","4.2538909912109375"
"635","4.2061662673950195","4.2061662673950195","4.2061662673950195"
"650","4.208217620849609","4.208217620849609","4.208217620849609"
"665","4.194604873657227","4.194604873657227","4.194604873657227"
"680","4.162765026092529","4.162765026092529","4.162765026092529"
"695","4.175649642944336","4.175649642944336","4.175649642944336"
"710","4.14110803604126","4.14110803604126","4.14110803604126"
"725","4.090316295623779","4.090316295623779","4.090316295623779"
"740","4.146625518798828","4.146625518798828","4.146625518798828"
"755","4.0625739097595215","4.0625739097595215","4.0625739097595215"
"770","4.086520671844482","4.086520671844482","4.086520671844482"
"785","4.053737163543701","4.053737163543701","4.053737163543701"
"800","4.123537540435791","4.123537540435791","4.123537540435791"
"815","4.0006794929504395","4.0006794929504395","4.0006794929504395"
"830","3.9852406978607178","3.9852406978607178","3.9852406978607178"
"845","4.051217555999756","4.051217555999756","4.051217555999756"
"860","3.965752601623535","3.965752601623535","3.965752601623535"
"875","3.9538733959198","3.9538733959198","3.9538733959198"
"890","3.9094831943511963","3.9094831943511963","3.9094831943511963"
"905","3.936643362045288","3.936643362045288","3.936643362045288"
"920","3.914687395095825","3.914687395095825","3.914687395095825"
"935","3.855588674545288","3.855588674545288","3.855588674545288"
"950","3.866241455078125","3.866241455078125","3.866241455078125"
"965","3.920083999633789","3.920083999633789","3.920083999633789"
"980","3.8443424701690674","3.8443424701690674","3.8443424701690674"
"995","3.848961114883423","3.848961114883423","3.848961114883423"
"1010","3.8902196884155273","3.8902196884155273","3.8902196884155273"
"1025","3.8454227447509766","3.8454227447509766","3.8454227447509766"
"1040","3.831101655960083","3.831101655960083","3.831101655960083"
"1055","3.8012397289276123","3.8012397289276123","3.8012397289276123"
"1070","3.7832562923431396","3.7832562923431396","3.7832562923431396"
"1085","3.7409279346466064","3.7409279346466064","3.7409279346466064"
"1100","3.773214101791382","3.773214101791382","3.773214101791382"
"1115","3.736412763595581","3.736412763595581","3.736412763595581"
"1130","3.7887961864471436","3.7887961864471436","3.7887961864471436"
"1145","3.715397596359253","3.715397596359253","3.715397596359253"
"1160","3.7907419204711914","3.7907419204711914","3.7907419204711914"
"1175","3.730365514755249","3.730365514755249","3.730365514755249"
"1190","3.6879169940948486","3.6879169940948486","3.6879169940948486"
"1205","3.6997358798980713","3.6997358798980713","3.6997358798980713"
"1220","3.700901746749878","3.700901746749878","3.700901746749878"
"1235","3.691568374633789","3.691568374633789","3.691568374633789"
"1250","3.72586727142334","3.72586727142334","3.72586727142334"
"1265","3.6378896236419678","3.6378896236419678","3.6378896236419678"
"1280","3.6829001903533936","3.6829001903533936","3.6829001903533936"
"1295","3.629725217819214","3.629725217819214","3.629725217819214"
"1310","3.6481974124908447","3.6481974124908447","3.6481974124908447"
"1325","3.5988657474517822","3.5988657474517822","3.5988657474517822"
"1340","3.6239283084869385","3.6239283084869385","3.6239283084869385"
"1355","3.605912923812866","3.605912923812866","3.605912923812866"
"1370","3.62419056892395","3.62419056892395","3.62419056892395"
"1385","3.61116099357605","3.61116099357605","3.61116099357605"
"1400","3.589574098587036","3.589574098587036","3.589574098587036"
"1415","3.5605356693267822","3.5605356693267822","3.5605356693267822"
"1430","3.576350450515747","3.576350450515747","3.576350450515747"
"1445","3.5476465225219727","3.5476465225219727","3.5476465225219727"
"1460","3.5817601680755615","3.5817601680755615","3.5817601680755615"
"1475","3.564216375350952","3.564216375350952","3.564216375350952"
"1490","3.5314414501190186","3.5314414501190186","3.5314414501190186"
"1505","3.519826889038086","3.519826889038086","3.519826889038086"
"1520","3.559109926223755","3.559109926223755","3.559109926223755"
"1535","3.5559403896331787","3.5559403896331787","3.5559403896331787"
"1550","3.5336320400238037","3.5336320400238037","3.5336320400238037"
"1565","3.4798614978790283","3.4798614978790283","3.4798614978790283"
"1580","3.480065107345581","3.480065107345581","3.480065107345581"
"1595","3.501924753189087","3.501924753189087","3.501924753189087"
"1610","3.4471309185028076","3.4471309185028076","3.4471309185028076"
"1625","3.497596025466919","3.497596025466919","3.497596025466919"
"1640","3.4921042919158936","3.4921042919158936","3.4921042919158936"
"1655","3.4731338024139404","3.4731338024139404","3.4731338024139404"
"1670","3.475376844406128","3.475376844406128","3.475376844406128"
"1685","3.469320058822632","3.469320058822632","3.469320058822632"
"1700","3.46825909614563","3.46825909614563","3.46825909614563"
"1715","3.4286270141601562","3.4286270141601562","3.4286270141601562"
"1730","3.412332534790039","3.412332534790039","3.412332534790039"
"1745","3.3933265209198","3.3933265209198","3.3933265209198"
"1760","3.4194915294647217","3.4194915294647217","3.4194915294647217"
"1775","3.4078543186187744","3.4078543186187744","3.4078543186187744"
"1790","3.4469153881073","3.4469153881073","3.4469153881073"
"1805","3.397885322570801","3.397885322570801","3.397885322570801"
"1820","3.3782269954681396","3.3782269954681396","3.3782269954681396"
"1835","3.34716796875","3.34716796875","3.34716796875"
"1852","3.4095189571380615","3.4095189571380615","3.4095189571380615"
"1869","3.3790194988250732","3.3790194988250732","3.3790194988250732"
"1886","3.3403608798980713","3.3403608798980713","3.3403608798980713"
"1903","3.3314292430877686","3.3314292430877686","3.3314292430877686"
"1920","3.37226939201355","3.37226939201355","3.37226939201355"
"1937","3.3464300632476807","3.3464300632476807","3.3464300632476807"
"1954","3.292994260787964","3.292994260787964","3.292994260787964"
"1971","3.289923906326294","3.289923906326294","3.289923906326294"
