"Step","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_phiq","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_phiq__MIN","reconstruction_with_individual_norms_galvani_vit - train_rel_error_wrt_phiq__MAX"
"4","223209.375","223209.375","223209.375"
"19","1255537.125","1255537.125","1255537.125"
"34","1139830.25","1139830.25","1139830.25"
"49","1056532.625","1056532.625","1056532.625"
"64","1195986.875","1195986.875","1195986.875"
"79","992903.3125","992903.3125","992903.3125"
"94","1023724.3125","1023724.3125","1023724.3125"
"109","916017.5625","916017.5625","916017.5625"
"124","1093258.625","1093258.625","1093258.625"
"139","1030602.1875","1030602.1875","1030602.1875"
"154","941390.8125","941390.8125","941390.8125"
"169","848523.3125","848523.3125","848523.3125"
"184","880006.25","880006.25","880006.25"
"199","742494.3125","742494.3125","742494.3125"
"214","721166.5","721166.5","721166.5"
"229","629672.3125","629672.3125","629672.3125"
"244","620961.5625","620961.5625","620961.5625"
"259","685388.25","685388.25","685388.25"
"274","512669.15625","512669.15625","512669.15625"
"289","456210.03125","456210.03125","456210.03125"
"304","742667.1875","742667.1875","742667.1875"
"319","640267.1875","640267.1875","640267.1875"
"334","593656.125","593656.125","593656.125"
"349","490937.84375","490937.84375","490937.84375"
"364","575620.5","575620.5","575620.5"
"379","584862.3125","584862.3125","584862.3125"
"394","420717.375","420717.375","420717.375"
"409","497714.65625","497714.65625","497714.65625"
"424","456195.90625","456195.90625","456195.90625"
"439","599249.375","599249.375","599249.375"
"454","338245.96875","338245.96875","338245.96875"
"469","712797.25","712797.25","712797.25"
"484","798394.9375","798394.9375","798394.9375"
"499","667669.9375","667669.9375","667669.9375"
"514","582189.4375","582189.4375","582189.4375"
"529","615614.875","615614.875","615614.875"
"544","489405.625","489405.625","489405.625"
"559","618348.9375","618348.9375","618348.9375"
"574","506648.84375","506648.84375","506648.84375"
"589","525768.1875","525768.1875","525768.1875"
"604","392833.65625","392833.65625","392833.65625"
"619","562022.8125","562022.8125","562022.8125"
"634","416775.5","416775.5","416775.5"
"649","685533.375","685533.375","685533.375"
"664","536538.25","536538.25","536538.25"
"679","715956.8125","715956.8125","715956.8125"
"694","817749.3125","817749.3125","817749.3125"
"709","681756.75","681756.75","681756.75"
"724","583213.4375","583213.4375","583213.4375"
"739","649850.1875","649850.1875","649850.1875"
"754","614180","614180","614180"
"769","817027.1875","817027.1875","817027.1875"
"784","881357.75","881357.75","881357.75"
"799","876260.0625","876260.0625","876260.0625"
"814","649201.25","649201.25","649201.25"
"829","1019781.5625","1019781.5625","1019781.5625"
"844","1030815.8125","1030815.8125","1030815.8125"
"859","746660.6875","746660.6875","746660.6875"
"874","960506.3125","960506.3125","960506.3125"
"889","962507.5625","962507.5625","962507.5625"
"904","747966.5625","747966.5625","747966.5625"
"919","831359.1875","831359.1875","831359.1875"
"934","695394.5","695394.5","695394.5"
"949","996751.5","996751.5","996751.5"
"964","784208.5625","784208.5625","784208.5625"
"979","955826.3125","955826.3125","955826.3125"
"994","922884.5","922884.5","922884.5"
"1009","1119524.375","1119524.375","1119524.375"
"1024","937660.8125","937660.8125","937660.8125"
"1039","822550.4375","822550.4375","822550.4375"
"1054","974840.0625","974840.0625","974840.0625"
"1069","904991.9375","904991.9375","904991.9375"
"1084","856100.0625","856100.0625","856100.0625"
"1099","763447.5625","763447.5625","763447.5625"
"1114","1078511.625","1078511.625","1078511.625"
"1129","1042395.9375","1042395.9375","1042395.9375"
"1144","689057.0625","689057.0625","689057.0625"
"1159","1150031.875","1150031.875","1150031.875"
"1174","1112077.5","1112077.5","1112077.5"
"1189","877396.0625","877396.0625","877396.0625"
"1204","680499.6875","680499.6875","680499.6875"
"1219","1063710.75","1063710.75","1063710.75"
"1234","1018712.5625","1018712.5625","1018712.5625"
"1249","1045510.75","1045510.75","1045510.75"
"1264","935910.9375","935910.9375","935910.9375"
"1279","995865.6875","995865.6875","995865.6875"
"1294","685729.875","685729.875","685729.875"
"1309","914868.5","914868.5","914868.5"
"1324","1014322.1875","1014322.1875","1014322.1875"
"1339","1117554.875","1117554.875","1117554.875"
"1354","839804.3125","839804.3125","839804.3125"
"1369","870055.25","870055.25","870055.25"
"1384","913353.5625","913353.5625","913353.5625"
"1399","890961.25","890961.25","890961.25"
"1414","1210870.125","1210870.125","1210870.125"
"1429","989436.6875","989436.6875","989436.6875"
"1444","1092339.25","1092339.25","1092339.25"
"1459","1052183.875","1052183.875","1052183.875"
"1474","958604.3125","958604.3125","958604.3125"
"1489","1100349.875","1100349.875","1100349.875"
"1504","818984.25","818984.25","818984.25"
"1519","967504.6875","967504.6875","967504.6875"
"1534","989551.5","989551.5","989551.5"
"1549","973642.4375","973642.4375","973642.4375"
"1564","789374.1875","789374.1875","789374.1875"
"1579","945347.3125","945347.3125","945347.3125"
"1594","923252.6875","923252.6875","923252.6875"
"1609","829592.1875","829592.1875","829592.1875"
"1624","1053651.75","1053651.75","1053651.75"
"1639","1160479.125","1160479.125","1160479.125"
"1654","873624.5625","873624.5625","873624.5625"
"1669","1117955.375","1117955.375","1117955.375"
"1684","825172.0625","825172.0625","825172.0625"
"1699","1005868.5","1005868.5","1005868.5"
"1714","917603.9375","917603.9375","917603.9375"
"1729","858269.4375","858269.4375","858269.4375"
"1744","965791.3125","965791.3125","965791.3125"
"1759","943094.5625","943094.5625","943094.5625"
"1774","1096408.625","1096408.625","1096408.625"
